fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	narrow_flat_transferred	10800	0.7941	0.5002	0.2085	-0.0099	0.0206	0.0366	0.5585	0.1033
0	narrow_flat_local	10800	0.8375	0.5712	0.4147	0.0609	0.0967	0.0493	0.5575	0.1365
0	WIDE_flat_transferred	10800	0.7993	0.5256	0.2617	-0.0017	0.0466	0.0371	0.5583	0.1055
0	WIDE_flat_local	10800	0.8523	0.5859	0.4897	0.0859	0.1137	0.0494	0.5574	0.1371
0	narrow_FRAG_transferred	10800	0.7987	0.52	0.2138	-0.0027	0.0408	0.0368	0.5583	0.1047
0	narrow_FRAG_local	10800	0.8392	0.578	0.4235	0.0637	0.1045	0.0493	0.5576	0.1366
0	WIDE_FRAG_transferred	10800	0.7917	0.5063	0.2303	-0.0138	0.0268	0.0367	0.5584	0.1039
0	atac_LOCAL	10800	0.8003	0.4792		0.0	0.0	0.0314	0.561	0.0932
1	narrow_flat_transferred	14362	0.8063	0.548	0.278	0.0119	0.0324	0.0441	0.5645	0.1204
1	narrow_flat_local	14362	0.8399	0.5714	0.4396	0.0672	0.0585	0.0581	0.5635	0.1547
1	WIDE_flat_transferred	14362	0.8118	0.5531	0.3109	0.0208	0.0381	0.0445	0.5644	0.1218
1	WIDE_flat_local	14362	0.857	0.5886	0.5239	0.0961	0.0786	0.0585	0.5635	0.1559
1	narrow_FRAG_transferred	14362	0.8086	0.541	0.2769	0.0155	0.0247	0.0441	0.5647	0.1198
1	narrow_FRAG_local	14362	0.8411	0.5785	0.4447	0.0691	0.0668	0.0584	0.5635	0.1559
1	WIDE_FRAG_transferred	14362	0.8117	0.5563	0.2938	0.0205	0.0416	0.0444	0.5645	0.1208
1	atac_LOCAL	14362	0.7989	0.5176		0.0	0.0	0.0374	0.5678	0.1062
2	narrow_flat_transferred	10491	0.7791	0.5477	0.2193	-0.006	0.0358	0.0391	0.5605	0.1091
2	narrow_flat_local	10491	0.8198	0.5957	0.3931	0.0591	0.0907	0.0517	0.5595	0.1411
2	WIDE_flat_transferred	10491	0.7905	0.5547	0.2676	0.012	0.0436	0.0389	0.5605	0.1091
2	WIDE_flat_local	10491	0.8363	0.6063	0.4734	0.0864	0.1035	0.0516	0.5594	0.1414
2	narrow_FRAG_transferred	10491	0.782	0.5344	0.2257	-0.0015	0.0214	0.0387	0.5606	0.108
2	narrow_FRAG_local	10491	0.8242	0.5946	0.4153	0.0663	0.0894	0.0519	0.5595	0.1415
2	WIDE_FRAG_transferred	10491	0.7908	0.5717	0.2654	0.0124	0.0627	0.039	0.5606	0.1086
2	atac_LOCAL	10491	0.7829	0.5139		0.0	0.0	0.0336	0.5632	0.0973
3	narrow_flat_transferred	11028	0.7887	0.5078	0.1663	-0.0217	-0.0179	0.0399	0.5662	0.1083
3	narrow_flat_local	11028	0.8342	0.5893	0.3851	0.0521	0.0716	0.0538	0.5649	0.1438
3	WIDE_flat_transferred	11028	0.8013	0.5338	0.2339	-0.0016	0.0093	0.0397	0.5661	0.108
3	WIDE_flat_local	11028	0.8457	0.5952	0.4468	0.0715	0.0785	0.0535	0.5651	0.1436
3	narrow_FRAG_transferred	11028	0.7968	0.5141	0.1959	-0.0089	-0.0115	0.0395	0.5662	0.1069
3	narrow_FRAG_local	11028	0.8361	0.598	0.3981	0.0553	0.0819	0.0537	0.5649	0.1438
3	WIDE_FRAG_transferred	11028	0.8073	0.5447	0.2558	0.0079	0.021	0.0399	0.5661	0.1084
3	atac_LOCAL	11028	0.8024	0.5251		0.0	0.0	0.0341	0.5687	0.0963
4	narrow_flat_transferred	10463	0.7698	0.5509	0.1899	-0.0076	-0.002	0.0366	0.5626	0.1005
4	narrow_flat_local	10463	0.8141	0.5998	0.3962	0.0626	0.0543	0.0495	0.5617	0.1332
4	WIDE_flat_transferred	10463	0.7748	0.5445	0.2356	0.0001	-0.009	0.0373	0.5624	0.1027
4	WIDE_flat_local	10463	0.8302	0.6325	0.4718	0.089	0.0945	0.0499	0.5615	0.1341
4	narrow_FRAG_transferred	10463	0.7704	0.5394	0.1926	-0.0067	-0.0146	0.0369	0.5625	0.1016
4	narrow_FRAG_local	10463	0.82	0.606	0.4258	0.0721	0.0617	0.0501	0.5615	0.1349
4	WIDE_FRAG_transferred	10463	0.7733	0.555	0.2264	-0.0022	0.0025	0.0374	0.5624	0.1026
4	atac_LOCAL	10463	0.7747	0.5527		0.0	0.0	0.0318	0.565	0.0896
