fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	mm_narrow_flat	10143	0.8865	0.6991	0.5359	0.0853	0.1613	0.0622	0.5982	0.1657
0	mm_narrow_FRAG	10143	0.8897	0.7202	0.5541	0.0911	0.1912	0.0623	0.598	0.1666
0	mm_WIDE_flat	10143	0.8942	0.7269	0.5804	0.0991	0.2008	0.0625	0.5981	0.1671
0	mm_WIDE_FRAG	10143	0.8946	0.7296	0.5833	0.0999	0.2048	0.0624	0.5979	0.1664
0	atac_flat	10143	0.8369	0.5723		0.0	0.0	0.04	0.6036	0.1114
1	mm_narrow_flat	14392	0.8861	0.6963	0.5522	0.094	0.2061	0.0702	0.5966	0.1904
1	mm_narrow_FRAG	14392	0.8887	0.705	0.5658	0.0986	0.2183	0.0704	0.5966	0.1911
1	mm_WIDE_flat	14392	0.8942	0.7103	0.5927	0.1083	0.2258	0.0704	0.5965	0.1915
1	mm_WIDE_FRAG	14392	0.8956	0.7125	0.5989	0.111	0.2289	0.0707	0.5964	0.1922
1	atac_flat	14392	0.8314	0.528		0.0	0.0	0.0442	0.6034	0.1268
2	mm_narrow_flat	12801	0.8505	0.6994	0.4796	0.0802	0.1299	0.0644	0.6079	0.1706
2	mm_narrow_FRAG	12801	0.854	0.7126	0.4945	0.0861	0.1485	0.0648	0.6078	0.172
2	mm_WIDE_flat	12801	0.8606	0.7219	0.5272	0.0974	0.1619	0.0648	0.6077	0.1723
2	mm_WIDE_FRAG	12801	0.8632	0.7371	0.5349	0.102	0.184	0.0648	0.6078	0.1726
2	atac_flat	12801	0.802	0.5994		0.0	0.0	0.0403	0.6135	0.1108
3	mm_narrow_flat	12021	0.8864	0.7037	0.4789	0.0637	0.1177	0.0679	0.6088	0.1841
3	mm_narrow_FRAG	12021	0.8922	0.7237	0.514	0.0741	0.1464	0.0683	0.6084	0.1852
3	mm_WIDE_flat	12021	0.896	0.7396	0.5404	0.0807	0.1696	0.0679	0.6085	0.1842
3	mm_WIDE_FRAG	12021	0.8986	0.7442	0.5563	0.0854	0.1764	0.0681	0.6084	0.1847
3	atac_flat	12021	0.8497	0.6144		0.0	0.0	0.0441	0.6141	0.1219
4	mm_narrow_flat	9298	0.8811	0.6961	0.5097	0.0794	0.1197	0.0615	0.5965	0.1668
4	mm_narrow_FRAG	9298	0.882	0.7113	0.5167	0.0811	0.1412	0.0616	0.5964	0.1672
4	mm_WIDE_flat	9298	0.8894	0.7357	0.5534	0.0941	0.1765	0.062	0.5964	0.1681
4	mm_WIDE_FRAG	9298	0.8913	0.7434	0.5666	0.0975	0.1878	0.062	0.5962	0.1686
4	atac_flat	9298	0.8348	0.6039		0.0	0.0	0.0389	0.6016	0.109
