fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	gm12878_mm_narrow_to_k562	10143	0.8463	0.6162	0.3465	0.0158	0.0522	0.0449	0.6023	0.1237
0	gm12878_mm_WIDE_to_k562	10143	0.8471	0.5936	0.354	0.0171	0.0249	0.0448	0.6021	0.1245
0	k562_mm_narrow_local	10143	0.8865	0.6991	0.5359	0.0853	0.1613	0.0622	0.5982	0.1657
0	k562_mm_WIDE_local	10143	0.8942	0.7269	0.5804	0.0991	0.2008	0.0625	0.5981	0.1671
0	atac_LOCAL	10143	0.8369	0.5723		0.0	0.0	0.04	0.6036	0.1114
1	gm12878_mm_narrow_to_k562	14392	0.8409	0.5722	0.341	0.016	0.0487	0.0511	0.6013	0.1431
1	gm12878_mm_WIDE_to_k562	14392	0.8503	0.5968	0.4062	0.0318	0.0774	0.0515	0.6013	0.1444
1	k562_mm_narrow_local	14392	0.8861	0.6963	0.5522	0.094	0.2061	0.0702	0.5966	0.1904
1	k562_mm_WIDE_local	14392	0.8942	0.7103	0.5927	0.1083	0.2258	0.0704	0.5965	0.1915
1	atac_LOCAL	14392	0.8314	0.528		0.0	0.0	0.0442	0.6034	0.1268
2	gm12878_mm_narrow_to_k562	12801	0.7948	0.6113	0.2534	-0.0115	0.0144	0.0443	0.6123	0.1214
2	gm12878_mm_WIDE_to_k562	12801	0.809	0.6202	0.3173	0.0113	0.0253	0.0458	0.612	0.1259
2	k562_mm_narrow_local	12801	0.8505	0.6994	0.4796	0.0802	0.1299	0.0644	0.6079	0.1706
2	k562_mm_WIDE_local	12801	0.8606	0.7219	0.5272	0.0974	0.1619	0.0648	0.6077	0.1723
2	atac_LOCAL	12801	0.802	0.5994		0.0	0.0	0.0403	0.6135	0.1108
3	gm12878_mm_narrow_to_k562	12021	0.849	0.6355	0.3033	-0.0012	0.0264	0.0485	0.6128	0.137
3	gm12878_mm_WIDE_to_k562	12021	0.8584	0.6402	0.3387	0.0147	0.0324	0.0474	0.6131	0.1348
3	k562_mm_narrow_local	12021	0.8864	0.7037	0.4789	0.0637	0.1177	0.0679	0.6088	0.1841
3	k562_mm_WIDE_local	12021	0.896	0.7396	0.5404	0.0807	0.1696	0.0679	0.6085	0.1842
3	atac_LOCAL	12021	0.8497	0.6144		0.0	0.0	0.0441	0.6141	0.1219
4	gm12878_mm_narrow_to_k562	9298	0.8427	0.636	0.3033	0.0133	0.0397	0.0431	0.6006	0.1208
4	gm12878_mm_WIDE_to_k562	9298	0.843	0.647	0.3346	0.0138	0.0539	0.0444	0.6004	0.1247
4	k562_mm_narrow_local	9298	0.8811	0.6961	0.5097	0.0794	0.1197	0.0615	0.5965	0.1668
4	k562_mm_WIDE_local	9298	0.8894	0.7357	0.5534	0.0941	0.1765	0.062	0.5964	0.1681
4	atac_LOCAL	9298	0.8348	0.6039		0.0	0.0	0.0389	0.6016	0.109
